customer_id,age,gender,monthly_income_usd,debt_to_income_ratio,credit_score,has_loan,loan_amount,savings_usd,city,signup_date,last_transaction_date,review_text,risk_flag
10000,79,female,2185,11.11,403,TRUE,30630,44313,unknown,,01-07-2023,,low
10001,77,unknown,4567,80.39,360,FALSE,0,79932,los angeles,15-01-2022,01-07-2023,great service,low
10002,,female,9188,,,TRUE,18633,96705,los angeles,,01-06-2023,very bad experience,high
10003,48,female,18677,24.02,645,TRUE,6152,37108,new york,,01-06-2023,very bad experience,high
10004,47,male,736,74.27,741,TRUE,26061,23289,los angeles,15-01-2022,01-07-2023,,high
10005,75,female,11357,,577,TRUE,2991,19543,new york,,01-06-2023,ok,low
10006,41,male,5806,7.67,388,FALSE,0,87301,new york,15-01-2022,,,low
10007,,male,1864,,671,TRUE,2263,48727,los angeles,,,late delivery,low
10008,40,unknown,12863,51.21,772,TRUE,39812,69067,los angeles,,,,low
10009,76,unknown,6326,,764,FALSE,0,83813,los angeles,,01-07-2023,,medium
10010,65,male,16528,,351,FALSE,0,23049,los angeles,,01-06-2023,,high
10011,62,unknown,11067,39.4,737,TRUE,16917,30424,new york,,01-07-2023,,high
10012,20,female,17907,,697,FALSE,0,65552,los angeles,,01-06-2023,great service,low
10013,79,male,10508,38.38,816,FALSE,0,84359,los angeles,,01-07-2023,,high
10014,,unknown,19027,55.7,,TRUE,20881,57146,los angeles,,01-07-2023,very bad experience,low
10015,57,female,1907,67.89,,FALSE,0,72744,los angeles,15-01-2022,,very bad experience,medium
10016,58,unknown,13869,50.45,820,TRUE,39696,98396,los angeles,,01-07-2023,,high
10017,71,male,16518,95.59,644,TRUE,43202,2457,unknown,,,ok,low
10018,40,female,6920,20.36,778,FALSE,0,54432,unknown,15-01-2022,01-06-2023,very bad experience,low
10019,80,female,14567,,308,FALSE,0,25317,unknown,,01-07-2023,late delivery,high
10020,23,female,13257,92.47,644,TRUE,28349,33473,los angeles,,01-07-2023,,low
10021,66,male,6589,,512,FALSE,0,996,los angeles,,01-07-2023,great service,low
10022,29,unknown,11187,10.28,564,FALSE,0,34411,new york,,01-07-2023,very bad experience,high
10023,63,female,12818,50.45,811,FALSE,0,56235,unknown,15-01-2022,01-06-2023,great service,high
10024,42,unknown,5809,73.01,330,FALSE,0,95440,unknown,,,,high
10025,25,male,2647,,326,FALSE,0,48301,unknown,15-01-2022,01-07-2023,great service,high
10026,80,unknown,11754,73.01,698,TRUE,33515,26991,new york,15-01-2022,01-07-2023,late delivery,low
10027,90,unknown,10520,0.08,535,TRUE,15945,64216,new york,,01-07-2023,ok,low
10028,,male,19355,73.63,787,TRUE,47178,21910,unknown,,01-06-2023,late delivery,high
10029,96,female,10671,,,FALSE,0,31961,new york,15-01-2022,01-07-2023,great service,high
10030,18,female,11312,13.23,302,FALSE,0,51918,new york,,01-07-2023,ok,low
10031,80,unknown,12038,83.12,641,FALSE,0,68084,los angeles,,01-07-2023,,low
10032,95,male,12828,66.96,722,FALSE,0,92704,new york,15-01-2022,,,high
10033,97,unknown,8779,,328,TRUE,18760,12847,unknown,15-01-2022,,great service,medium
10034,,female,14210,49.36,442,TRUE,38262,2320,new york,,,ok,low
10035,61,female,6908,,612,TRUE,17404,20971,new york,,,very bad experience,low
10036,,female,3619,51.21,439,TRUE,19325,84782,los angeles,,01-06-2023,late delivery,high
10037,30,unknown,16538,13.23,508,TRUE,15473,53918,los angeles,15-01-2022,,ok,high
10038,,female,11935,33.8,396,TRUE,20996,12918,unknown,,01-07-2023,late delivery,low
10039,48,female,16933,22.11,392,TRUE,6043,21895,unknown,,01-07-2023,,high
10040,80,male,520,65.06,454,TRUE,42320,42516,los angeles,,01-06-2023,late delivery,medium
10041,21,unknown,19913,,735,FALSE,0,26347,new york,,01-06-2023,,high
10042,58,male,10203,,377,FALSE,0,35297,new york,,01-06-2023,,high
10043,42,male,1261,,473,FALSE,0,78814,new york,,01-07-2023,very bad experience,high
10044,,male,7190,,720,FALSE,0,87489,new york,,01-06-2023,,low
10045,68,male,18563,3.22,572,FALSE,0,76290,unknown,,01-07-2023,late delivery,medium
10046,44,female,6447,,448,TRUE,13809,17442,los angeles,,,ok,medium
10047,25,male,5786,,682,FALSE,0,26357,new york,,01-07-2023,great service,low
10048,76,female,7074,8.07,834,FALSE,0,27637,los angeles,,01-07-2023,great service,low
10049,30,unknown,14832,49.2,346,TRUE,34434,72452,unknown,,01-07-2023,ok,medium
10050,70,unknown,5176,,736,TRUE,38506,42282,los angeles,,01-07-2023,late delivery,medium
10051,58,female,5460,51.33,441,FALSE,0,79190,new york,,01-07-2023,,high
10052,53,unknown,4812,,636,FALSE,0,39621,new york,,01-06-2023,late delivery,medium
10053,29,unknown,16233,5.42,,FALSE,0,71560,unknown,,,late delivery,low
10054,29,unknown,8866,38.9,438,TRUE,49235,90959,los angeles,15-01-2022,01-06-2023,great service,medium
10055,,female,9654,0.97,646,TRUE,38675,74336,unknown,,01-07-2023,,low
10056,48,unknown,17548,0.08,346,FALSE,0,69266,los angeles,,01-07-2023,,high
10057,64,unknown,1908,,799,FALSE,0,80451,new york,,01-07-2023,,low
10058,50,female,5004,48.85,768,TRUE,14732,271,los angeles,,01-07-2023,,high
10059,26,female,6759,,300,FALSE,0,61882,new york,15-01-2022,01-06-2023,late delivery,low
10060,43,unknown,4474,24.75,578,TRUE,43048,84952,unknown,,01-07-2023,ok,low
10061,45,male,16985,39.6,517,TRUE,29634,79154,new york,,01-06-2023,ok,high
10062,,male,12017,,468,FALSE,0,52888,new york,,01-07-2023,very bad experience,low
10063,26,female,1596,81.47,529,FALSE,0,87343,unknown,,01-07-2023,great service,high
10064,47,female,14795,,809,FALSE,0,93063,unknown,,01-07-2023,late delivery,medium
10065,56,female,4134,47.28,441,FALSE,0,94293,los angeles,15-01-2022,01-07-2023,,low
10066,,male,2703,48.85,306,FALSE,0,44424,los angeles,,01-06-2023,ok,medium
10067,65,male,3379,,,FALSE,0,82456,new york,,01-06-2023,very bad experience,high
