customer_id,age,gender,monthly_income_usd,debt_to_income_ratio,credit_score,has_loan,loan_amount,savings_usd,city,signup_date,last_transaction_date,review_text,risk_flag
17270,21,,679,81.3,464,Yes,15612,5796,los angeles,15-01-2022,32-13-2022,Very bad experience,Medium
10860,31,female,15199,19.35,294,No,30153,10856,NY,,01-07-2023,OK,
15390,-3,F,3575,62.56,557,no,15418,22506,New York,03-10-2021,01-06-2023,Very bad experience,LOW
15191,70,male,15838,118.5,330,yes,14341,46080,LA,15-02-2022,32-13-2022,Very bad experience,high
15734,1,,4085,118.79,353,yes,16038,37910,,,NA,Great service,LOW
16265,52,M,18810,107.94,519,,37865,91220,new york ,,01-06-2023, late delivery ,Medium
10466,14,female,10353,57.44,829,Yes,28064,94767,NY,invalid_date,NA,Great service,high
14426,73,,13324,138.19,267,FALSE,48621,57867,,03-10-2021,32-13-2022,,High
15578,59,female,19126,23.47,346,TRUE,39401,37348,New York,03-10-2021,NA,,High
18322,68,Female,19886,89.49,720,no,42570,28755,NY,,01-07-2023,Very bad experience,high
11685,8,Female,4570,99.61,388,no,10800,58157,NY,03-10-2021,,,
10769,73,female,10587,129.77,376,yes,12123,55919,NY,,32-13-2022,,high
16949,92,M,9839,26.86,796,yes,46748,44946,,15-01-2022,NA,,Medium
12433,43,Female,7361,99.61,772,No,36244,93377,los angeles,03-10-2021,01-07-2023, late delivery ,
15311,83,female,10631,129.77,478,FALSE,43548,54575,Los Angeles,03-10-2021,01-07-2023,Very bad experience,Medium
15051,89,Female,13552,81.91,534,1,49971,62369,Los Angeles,invalid_date,01-07-2023,,Low
16420,68,M,15892,3.22,735,0,24901,93554,Los Angeles,03-10-2021,01-06-2023,OK,High
11184,31,Male,6525,110.84,858,no,11542,76619,NY,,01-07-2023,Very bad experience,high
14555,0,male,2666,49.36,775,1,25952,68339,New York,invalid_date,01-07-2023,,High
13385,0,,5662,46.77,360,TRUE,30220,10221,los angeles,15-02-2022,01-06-2023,,
16396,22,male,16271,71.69,374,yes,20505,52318,NY,invalid_date,01-06-2023,Great service,Low
